GAME_ID,TEAM_ID,TEAM_ABBREVIATION,GAME_DATE,PREV_CITY,CURRENT_CITY,DISTANCE_MILES,TRAVEL_DIRECTION,TIMEZONE_SHIFT_HOURS
0022300063,1610612737,ATL,2023-10-25,Atlanta,Charlotte,226.5,NE,0.0
0022300079,1610612737,ATL,2023-10-27,Charlotte,Atlanta,226.5,SW,0.0
0022300097,1610612737,ATL,2023-10-29,Atlanta,Milwaukee,669.3,N,-1.0
0022300104,1610612737,ATL,2023-10-30,Milwaukee,Atlanta,669.3,S,1.0
0022300117,1610612737,ATL,2023-11-01,Atlanta,Atlanta,0.0,,0.0
0022300135,1610612737,ATL,2023-11-04,Atlanta,New Orleans,424.8,SW,-1.0
0022300155,1610612737,ATL,2023-11-06,New Orleans,Oklahoma City,575.8,NW,0.0
0022300172,1610612737,ATL,2023-11-09,Oklahoma City,Orlando,1057.5,E,1.0
0022300175,1610612737,ATL,2023-11-11,Orlando,Atlanta,402.1,NW,0.0
0022300018,1610612737,ATL,2023-11-14,Atlanta,Detroit,597.5,N,0.0
0022300193,1610612737,ATL,2023-11-15,Detroit,Atlanta,597.5,S,0.0
0022300029,1610612737,ATL,2023-11-17,Atlanta,Atlanta,0.0,,0.0
0022300039,1610612737,ATL,2023-11-21,Atlanta,Atlanta,0.0,,0.0
0022300227,1610612737,ATL,2023-11-22,Atlanta,Atlanta,0.0,,0.0
0022300241,1610612737,ATL,2023-11-25,Atlanta,Washington,542.5,NE,0.0
0022300246,1610612737,ATL,2023-11-26,Washington,Boston,393.6,NE,0.0
0022300055,1610612737,ATL,2023-11-28,Boston,Cleveland,549.1,W,0.0
0022300272,1610612737,ATL,2023-11-30,Cleveland,San Antonio,1254.4,SW,-1.0
0022300286,1610612737,ATL,2023-12-02,San Antonio,Milwaukee,1106.6,NE,0.0
0022301209,1610612737,ATL,2023-12-06,Milwaukee,Atlanta,669.3,S,1.0
0022301218,1610612737,ATL,2023-12-08,Atlanta,Philadelphia,663.0,NE,0.0
0022300296,1610612737,ATL,2023-12-11,Philadelphia,Atlanta,663.0,SW,0.0
0022300313,1610612737,ATL,2023-12-13,Atlanta,Toronto,734.3,N,0.0
0022300330,1610612737,ATL,2023-12-15,Toronto,Toronto,0.0,,0.0
0022300336,1610612737,ATL,2023-12-16,Toronto,Cleveland,189.2,SW,0.0
0022300352,1610612737,ATL,2023-12-18,Cleveland,Atlanta,554.8,S,0.0
0022300371,1610612737,ATL,2023-12-20,Atlanta,Houston,700.7,W,-1.0
0022300384,1610612737,ATL,2023-12-22,Houston,Miami,966.6,E,1.0
0022300393,1610612737,ATL,2023-12-23,Miami,Atlanta,606.0,NW,0.0
0022300408,1610612737,ATL,2023-12-26,Atlanta,Chicago,589.0,N,-1.0
0022300431,1610612737,ATL,2023-12-29,Chicago,Atlanta,589.0,S,1.0
0022300445,1610612737,ATL,2023-12-31,Atlanta,Washington,542.5,NE,0.0
0022300467,1610612737,ATL,2024-01-03,Washington,Atlanta,542.5,SW,0.0
0022300480,1610612737,ATL,2024-01-05,Atlanta,Indianapolis,426.3,N,0.0
0022300499,1610612737,ATL,2024-01-07,Indianapolis,Orlando,821.8,S,0.0
0022300521,1610612737,ATL,2024-01-10,Orlando,Atlanta,402.1,NW,0.0
0022300533,1610612737,ATL,2024-01-12,Atlanta,Atlanta,0.0,,0.0
0022300543,1610612737,ATL,2024-01-13,Atlanta,Atlanta,0.0,,0.0
0022300559,1610612737,ATL,2024-01-15,Atlanta,Atlanta,0.0,,0.0
0022300570,1610612737,ATL,2024-01-17,Atlanta,Atlanta,0.0,,0.0
0022300587,1610612737,ATL,2024-01-19,Atlanta,Miami,606.0,SE,0.0
0022300595,1610612737,ATL,2024-01-20,Miami,Atlanta,606.0,NW,0.0
0022300613,1610612737,ATL,2024-01-22,Atlanta,Sacramento,2081.9,W,-3.0
0022300626,1610612737,ATL,2024-01-24,Sacramento,San Francisco,74.0,SW,0.0
0022300634,1610612737,ATL,2024-01-26,San Francisco,Atlanta,2133.3,E,3.0
0022300653,1610612737,ATL,2024-01-28,Atlanta,Atlanta,0.0,,0.0
0022300669,1610612737,ATL,2024-01-30,Atlanta,Atlanta,0.0,,0.0
0022300690,1610612737,ATL,2024-02-02,Atlanta,Atlanta,0.0,,0.0
0022300699,1610612737,ATL,2024-02-03,Atlanta,Atlanta,0.0,,0.0
0022300716,1610612737,ATL,2024-02-05,Atlanta,Atlanta,0.0,,0.0
0022300729,1610612737,ATL,2024-02-07,Atlanta,Boston,936.1,NE,0.0
0022300742,1610612737,ATL,2024-02-09,Boston,Philadelphia,273.4,SW,0.0
0022300754,1610612737,ATL,2024-02-10,Philadelphia,Atlanta,663.0,SW,0.0
0022300763,1610612737,ATL,2024-02-12,Atlanta,Atlanta,0.0,,0.0
0022300777,1610612737,ATL,2024-02-14,Atlanta,Charlotte,226.5,NE,0.0
0022300804,1610612737,ATL,2024-02-23,Charlotte,Atlanta,226.5,SW,0.0
0022300821,1610612737,ATL,2024-02-25,Atlanta,Atlanta,0.0,,0.0
0022300835,1610612737,ATL,2024-02-27,Atlanta,Atlanta,0.0,,0.0
0022300851,1610612737,ATL,2024-02-29,Atlanta,Brooklyn,745.8,NE,0.0
0022300866,1610612737,ATL,2024-03-02,Brooklyn,Brooklyn,0.0,,0.0
0022300889,1610612737,ATL,2024-03-05,Brooklyn,New York,4.8,N,0.0
0022300895,1610612737,ATL,2024-03-06,New York,Atlanta,747.9,SW,0.0
0022300913,1610612737,ATL,2024-03-08,Atlanta,Memphis,335.9,W,-1.0
0022300925,1610612737,ATL,2024-03-10,Memphis,Atlanta,335.9,E,1.0
0022300953,1610612737,ATL,2024-03-13,Atlanta,Portland,2167.7,NW,-3.0
0022300966,1610612737,ATL,2024-03-15,Portland,Salt Lake City,633.9,SE,1.0
0022300982,1610612737,ATL,2024-03-17,Salt Lake City,Inglewood,589.0,SW,-1.0
0022300990,1610612737,ATL,2024-03-18,Inglewood,Los Angeles,8.0,NE,0.0
0022301010,1610612737,ATL,2024-03-21,Los Angeles,Phoenix,358.3,E,0.0
0022301021,1610612737,ATL,2024-03-23,Phoenix,Atlanta,1588.0,E,3.0
0022301034,1610612737,ATL,2024-03-25,Atlanta,Atlanta,0.0,,0.0
0022301051,1610612737,ATL,2024-03-27,Atlanta,Atlanta,0.0,,0.0
0022301060,1610612737,ATL,2024-03-28,Atlanta,Atlanta,0.0,,0.0
0022301076,1610612737,ATL,2024-03-30,Atlanta,Atlanta,0.0,,0.0
0022301091,1610612737,ATL,2024-04-01,Atlanta,Chicago,589.0,N,-1.0
0022301104,1610612737,ATL,2024-04-03,Chicago,Atlanta,589.0,S,1.0
0022301124,1610612737,ATL,2024-04-04,Atlanta,Dallas,719.8,W,-1.0
0022301130,1610612737,ATL,2024-04-06,Dallas,Denver,662.5,NW,-1.0
0022301147,1610612737,ATL,2024-04-09,Denver,Atlanta,1210.4,E,2.0
0022301159,1610612737,ATL,2024-04-10,Atlanta,Atlanta,0.0,,0.0
0022301178,1610612737,ATL,2024-04-12,Atlanta,Minneapolis,907.7,NW,-1.0
0022301188,1610612737,ATL,2024-04-14,Minneapolis,Indianapolis,511.4,SE,1.0
0022300065,1610612738,BOS,2023-10-25,Boston,New York,188.2,SW,0.0
0022300080,1610612738,BOS,2023-10-27,New York,Boston,188.2,NE,0.0
0022300103,1610612738,BOS,2023-10-30,Boston,Washington,393.6,SW,0.0
0022300118,1610612738,BOS,2023-11-01,Washington,Boston,393.6,NE,0.0
0022300136,1610612738,BOS,2023-11-04,Boston,Brooklyn,190.4,SW,0.0
0022300154,1610612738,BOS,2023-11-06,Brooklyn,Minneapolis,1019.2,NW,-1.0
0022300159,1610612738,BOS,2023-11-08,Minneapolis,Philadelphia,984.9,E,1.0
0022300010,1610612738,BOS,2023-11-10,Philadelphia,Boston,273.4,NE,0.0
0022300174,1610612738,BOS,2023-11-11,Boston,Boston,0.0,,0.0
0022300188,1610612738,BOS,2023-11-13,Boston,Boston,0.0,,0.0
0022300194,1610612738,BOS,2023-11-15,Boston,Philadelphia,273.4,SW,0.0
0022300031,1610612738,BOS,2023-11-17,Philadelphia,Toronto,337.3,NW,0.0
0022300213,1610612738,BOS,2023-11-19,Toronto,Memphis,817.2,SW,-1.0
0022300217,1610612738,BOS,2023-11-20,Memphis,Charlotte,520.0,E,1.0
0022300228,1610612738,BOS,2023-11-22,Charlotte,Boston,720.7,NE,0.0
0022300043,1610612738,BOS,2023-11-24,Boston,Orlando,1116.1,SW,0.0
0022300246,1610612738,BOS,2023-11-26,Orlando,Boston,1116.1,NE,0.0
0022300053,1610612738,BOS,2023-11-28,Boston,Boston,0.0,,0.0
0022300275,1610612738,BOS,2023-12-01,Boston,Boston,0.0,,0.0
0022301202,1610612738,BOS,2023-12-04,Boston,Indianapolis,805.4,W,0.0
0022301227,1610612738,BOS,2023-12-08,Indianapolis,Boston,805.4,E,0.0
0022300305,1610612738,BOS,2023-12-12,Boston,Boston,0.0,,0.0
0022300319,1610612738,BOS,2023-12-14,Boston,Boston,0.0,,0.0
0022300329,1610612738,BOS,2023-12-15,Boston,Boston,0.0,,0.0
0022300344,1610612738,BOS,2023-12-17,Boston,Boston,0.0,,0.0
0022300362,1610612738,BOS,2023-12-19,Boston,San Francisco,2691.2,W,-3.0
0022300373,1610612738,BOS,2023-12-20,San Francisco,Sacramento,74.0,NE,0.0
0022300389,1610612738,BOS,2023-12-23,Sacramento,Inglewood,365.3,SE,0.0
0022300403,1610612738,BOS,2023-12-25,Inglewood,Los Angeles,8.0,NE,0.0
0022300421,1610612738,BOS,2023-12-28,Los Angeles,Boston,2592.2,NE,3.0
0022300432,1610612738,BOS,2023-12-29,Boston,Boston,0.0,,0.0
0022300448,1610612738,BOS,2023-12-31,Boston,San Antonio,1762.3,W,-1.0
0022300462,1610612738,BOS,2024-01-02,San Antonio,Oklahoma City,420.5,N,0.0
0022300479,1610612738,BOS,2024-01-05,Oklahoma City,Boston,1492.8,NE,1.0
0022300493,1610612738,BOS,2024-01-06,Boston,Indianapolis,805.4,W,0.0
0022300507,1610612738,BOS,2024-01-08,Indianapolis,Indianapolis,0.0,,0.0
0022300517,1610612738,BOS,2024-01-10,Indianapolis,Boston,805.4,E,0.0
0022300528,1610612738,BOS,2024-01-11,Boston,Milwaukee,855.6,W,-1.0
0022300542,1610612738,BOS,2024-01-13,Milwaukee,Boston,855.6,E,1.0
0022300563,1610612738,BOS,2024-01-15,Boston,Toronto,429.2,W,0.0
0022300571,1610612738,BOS,2024-01-17,Toronto,Boston,429.2,E,0.0
0022300586,1610612738,BOS,2024-01-19,Boston,Boston,0.0,,0.0
0022300603,1610612738,BOS,2024-01-21,Boston,Houston,1604.1,SW,-1.0
0022300611,1610612738,BOS,2024-01-22,Houston,Dallas,226.8,N,0.0
0022300630,1610612738,BOS,2024-01-25,Dallas,Miami,1110.8,E,1.0
0022300646,1610612738,BOS,2024-01-27,Miami,Boston,1257.4,N,0.0
0022300659,1610612738,BOS,2024-01-29,Boston,Boston,0.0,,0.0
0022300670,1610612738,BOS,2024-01-30,Boston,Boston,0.0,,0.0
0022300684,1610612738,BOS,2024-02-01,Boston,Boston,0.0,,0.0
0022300706,1610612738,BOS,2024-02-04,Boston,Boston,0.0,,0.0
0022300729,1610612738,BOS,2024-02-07,Boston,Boston,0.0,,0.0
0022300743,1610612738,BOS,2024-02-09,Boston,Boston,0.0,,0.0
0022300759,1610612738,BOS,2024-02-11,Boston,Miami,1257.4,SW,0.0
0022300771,1610612738,BOS,2024-02-13,Miami,Brooklyn,1089.6,N,0.0
0022300780,1610612738,BOS,2024-02-14,Brooklyn,Boston,190.4,NE,0.0
0022300797,1610612738,BOS,2024-02-22,Boston,Chicago,850.6,W,-1.0
0022300816,1610612738,BOS,2024-02-24,Chicago,New York,713.5,E,1.0
0022300836,1610612738,BOS,2024-02-27,New York,Boston,188.2,NE,0.0
0022300859,1610612738,BOS,2024-03-01,Boston,Boston,0.0,,0.0
0022300872,1610612738,BOS,2024-03-03,Boston,Boston,0.0,,0.0
0022300886,1610612738,BOS,2024-03-05,Boston,Cleveland,549.1,W,0.0
0022300906,1610612738,BOS,2024-03-07,Cleveland,Denver,1225.2,W,-2.0
0022300920,1610612738,BOS,2024-03-09,Denver,Phoenix,585.4,SW,0.0
0022300938,1610612738,BOS,2024-03-11,Phoenix,Portland,1006.3,NW,0.0
0022300943,1610612738,BOS,2024-03-12,Portland,Salt Lake City,633.9,SE,1.0
0022300955,1610612738,BOS,2024-03-14,Salt Lake City,Boston,2093.7,E,2.0
0022300980,1610612738,BOS,2024-03-17,Boston,Washington,393.6,SW,0.0
0022300984,1610612738,BOS,2024-03-18,Washington,Boston,393.6,NE,0.0
0022300998,1610612738,BOS,2024-03-20,Boston,Boston,0.0,,0.0
0022301011,1610612738,BOS,2024-03-22,Boston,Detroit,611.9,W,0.0
0022301023,1610612738,BOS,2024-03-23,Detroit,Chicago,238.9,W,-1.0
0022301034,1610612738,BOS,2024-03-25,Chicago,Atlanta,589.0,S,1.0
