GAME_ID,HOME_CLOSING_SPREAD
0022300061,-4.5
0022300062,-3.0
0022300069,-1.0
0022300074,-9.5
0022300072,1.5
0022300063,4.0
0022300065,4.0
0022300067,1.5
0022300071,-1.0
0022300073,4.5
0022300066,-4.5
0022300070,-2.5
0022300064,-4.5
0022300068,-9.5
0022300075,-6.0
0022300076,-6.5
0022300080,-8.5
0022300084,-6.0
0022300079,1.0
0022300086,4.0
0022300078,6.0
0022300087,-3.0
0022300083,-3.5
0022300085,4.0
0022300081,-2.5
0022300082,-2.5
0022300077,-4.5
0022300093,-8.5
0022300090,-3.0
0022300091,4.5
0022300092,5.0
0022300088,2.5
0022300094,-5.5
0022300089,1.0
0022300100,-2.5
0022300098,-9.5
0022300099,-9.5
0022300097,-6.0
0022300095,3.5
0022300096,7.0
0022300107,-7.5
0022300104,2.0
0022300101,1.5
0022300111,-3.5
0022300105,-10.0
0022300103,10.5
0022300102,-3.0
0022300106,-1.5
0022300108,-3.0
0022300110,-8.5
0022300109,-6.5
0022300112,2.0
0022300114,-6.5
0022300113,-7.0
0022300116,4.0
0022300119,-7.0
0022300118,-13.0
0022300115,-3.5
0022300126,-7.0
0022300120,-5.5
0022300121,-3.5
0022300124,-4.0
0022300123,2.25
0022300127,-3.0
0022300125,-2.0
0022300117,-9.5
0022300122,-3.0
0022300130,1.5
0022300131,-10.5
0022300128,-7.5
0022300129,-4.5
0022300004,-4.0
0022300002,-5.5
0022300001,2.0
0022300006,-6.0
0022300005,6.0
0022300007,3.5
0022300003,-8.5
0022300134,3.5
0022300132,-6.5
0022300137,2.5
0022300135,-2.0
0022300136,10.0
0022300139,-9.0
0022300138,-7.5
0022300133,-5.0
0022300140,3.5
0022300142,-1.0
0022300141,4.0
0022300144,3.5
0022300143,-11.5
0022300150,-1.5
0022300149,5.0
0022300153,2.0
0022300146,-8.5
0022300155,-1.0
0022300154,3.5
0022300156,-6.5
0022300147,1.0
0022300145,9.0
0022300151,-1.5
0022300152,-4.0
0022300148,-11.0
0022300163,2.0
0022300164,2.0
0022300162,1.0
0022300170,-7.5
0022300161,-9.0
0022300159,2.5
0022300167,2.0
0022300166,-9.5
0022300169,-4.5
0022300160,5.5
0022300168,-4.25
0022300158,-6.0
0022300157,-2.5
0022300165,-12.0
0022300171,1.0
0022300172,3.5
0022300015,-2.0
0022300013,7.5
0022300010,-12.0
0022300008,8.5
0022300011,-3.0
0022300014,-1.25
0022300016,1.5
0022300012,-5.0
0022300009,-3.0
0022300175,-7.5
0022300173,2.0
0022300176,-4.5
0022300174,-9.0
0022300184,2.0
0022300186,-3.5
0022300180,-7.0
0022300187,-8.5
0022300183,3.5
0022300182,4.5
0022300185,-3.5
