GAME_ID,GAME_DATE,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
0022400061,2024-10-22,1610612738,Boston Celtics,1,1,0,1.0,48.0,144.2,145.1,118.4,119.8,25.8,25.3,0.688,8.25,23.9,0.298,0.816,0.529,0.044,0.658,0.67,91.8,91.0,75.83,91,0.581
0022400062,2024-10-22,1610612747,Los Angeles Lakers,1,1,0,1.0,48.0,112.2,115.8,102.1,109.6,10.1,6.2,0.524,3.14,15.9,0.375,0.63,0.5,0.074,0.468,0.519,99.4,94.5,78.75,95,0.575
0022400062,2024-10-22,1610612750,Minnesota Timberwolves,1,0,1,0.0,48.0,102.1,109.6,112.2,115.8,-10.1,-6.2,0.486,1.06,13.0,0.37,0.625,0.5,0.17,0.488,0.532,99.4,94.5,78.75,94,0.425
0022400061,2024-10-22,1610612752,New York Knicks,1,0,1,0.0,48.0,118.4,119.8,144.2,145.1,-25.8,-25.3,0.465,1.67,16.9,0.184,0.702,0.471,0.132,0.622,0.641,91.8,91.0,75.83,91,0.419
0022400064,2024-10-23,1610612737,Atlanta Hawks,1,1,0,1.0,48.0,115.1,114.3,106.4,110.5,8.7,3.8,0.641,1.56,17.4,0.304,0.679,0.51,0.152,0.544,0.599,106.6,105.0,87.5,105,0.589
0022400064,2024-10-23,1610612751,Brooklyn Nets,1,0,1,0.0,48.0,106.4,110.5,115.1,114.3,-8.7,-3.8,0.525,1.11,14.7,0.321,0.696,0.49,0.181,0.533,0.569,106.6,105.0,87.5,105,0.411
0022400068,2024-10-23,1610612766,Charlotte Hornets,1,1,0,1.0,48.0,112.8,114.6,101.2,109.4,11.6,5.2,0.526,1.18,14.7,0.4,0.627,0.53,0.177,0.535,0.576,100.7,96.0,80.0,96,0.573
0022400069,2024-10-23,1610612741,Chicago Bulls,1,0,1,0.0,48.0,101.8,102.8,110.6,113.9,-8.7,-11.1,0.619,1.24,17.9,0.22,0.769,0.5,0.194,0.547,0.572,110.1,108.0,90.0,108,0.428
0022400067,2024-10-23,1610612739,Cleveland Cavaliers,1,1,0,1.0,48.0,131.5,134.7,102.2,102.9,29.3,31.7,0.569,2.23,20.6,0.282,0.615,0.473,0.129,0.667,0.691,103.6,102.0,85.0,101,0.648
0022400063,2024-10-23,1610612765,Detroit Pistons,1,0,1,0.0,48.0,106.5,110.1,112.7,113.9,-6.2,-3.8,0.579,1.57,15.9,0.321,0.744,0.51,0.141,0.483,0.543,102.2,100.0,83.33,99,0.414
