GAME_ID,GAME_DATE,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE
0022500002,2025-10-21,1610612744,Golden State Warriors,1,1,0,1.0,48.0,118.1,119.0,106.5,106.9,11.6,12.1,0.763,1.53,21.0,0.209,0.744,0.477,0.19,0.596,0.656,101.5,101.0,84.17,100,0.546
0022500001,2025-10-21,1610612745,Houston Rockets,1,0,1,0.0,58.0,103.6,107.8,107.8,112.6,-4.1,-4.8,0.535,0.92,13.9,0.482,0.717,0.603,0.217,0.5,0.56,97.5,93.52,77.93,115,0.479
0022500002,2025-10-21,1610612747,Los Angeles Lakers,1,0,1,0.0,48.0,106.5,106.9,118.1,119.0,-11.6,-12.1,0.548,1.15,16.9,0.256,0.791,0.523,0.196,0.597,0.61,101.5,101.0,84.17,102,0.454
0022500001,2025-10-21,1610612760,Oklahoma City Thunder,1,1,0,1.0,58.0,107.8,112.6,103.6,107.8,4.1,4.8,0.63,2.42,18.5,0.283,0.518,0.397,0.108,0.505,0.543,97.5,93.52,77.93,111,0.521
0022500082,2025-10-22,1610612737,Atlanta Hawks,1,0,1,0.0,48.0,103.3,104.4,120.3,122.1,-17.0,-17.7,0.658,1.56,16.7,0.214,0.667,0.416,0.142,0.478,0.555,114.5,113.0,94.17,113,0.384
0022500083,2025-10-22,1610612738,Boston Celtics,1,0,1,0.0,48.0,112.1,116.0,114.5,117.0,-2.3,-1.0,0.39,1.45,12.2,0.294,0.694,0.49,0.11,0.511,0.566,102.8,100.0,83.33,100,0.489
0022500080,2025-10-22,1610612751,Brooklyn Nets,1,0,1,0.0,48.0,108.4,110.4,126.5,128.3,-18.1,-17.9,0.641,1.47,17.1,0.268,0.591,0.41,0.16,0.523,0.568,107.7,106.0,88.33,106,0.391
0022500080,2025-10-22,1610612766,Charlotte Hornets,1,1,0,1.0,48.0,126.5,128.3,108.4,110.4,18.1,17.9,0.688,1.94,21.2,0.409,0.732,0.59,0.16,0.628,0.651,107.7,106.0,88.33,106,0.609
0022500084,2025-10-22,1610612741,Chicago Bulls,1,1,0,1.0,48.0,107.4,108.5,105.3,105.7,2.1,2.8,0.744,1.61,19.3,0.294,0.724,0.523,0.17,0.511,0.569,106.3,105.5,87.92,106,0.53
0022500003,2025-10-22,1610612739,Cleveland Cavaliers,1,0,1,0.0,48.0,105.8,105.7,111.4,113.3,-5.6,-7.6,0.525,1.4,15.8,0.163,0.755,0.459,0.143,0.576,0.591,105.9,105.0,87.5,105,0.436
0022500004,2025-10-22,1610612742,Dallas Mavericks,1,0,1,0.0,48.0,90.7,91.1,121.0,125.0,-30.3,-33.9,0.645,1.25,14.9,0.236,0.689,0.44,0.158,0.428,0.487,102.4,100.5,83.75,101,0.312
0022500084,2025-10-22,1610612765,Detroit Pistons,1,0,1,0.0,48.0,105.3,105.7,107.4,108.5,-2.1,-2.8,0.674,2.9,19.3,0.276,0.706,0.477,0.095,0.479,0.512,106.3,105.5,87.92,105,0.47
0022500087,2025-10-22,1610612746,LA Clippers,1,0,1,0.0,48.0,111.1,113.7,134.7,135.8,-23.6,-22.1,0.718,1.87,20.0,0.333,0.61,0.457,0.158,0.523,0.555,96.5,95.0,79.17,95,0.379
0022500085,2025-10-22,1610612763,Memphis Grizzlies,1,1,0,1.0,48.0,116.4,117.4,111.3,113.0,5.2,4.5,0.488,1.18,14.4,0.256,0.632,0.47,0.156,0.581,0.647,109.8,108.5,90.42,109,0.544
0022500081,2025-10-22,1610612748,Miami Heat,1,0,1,0.0,48.0,108.2,109.0,112.2,112.6,-4.1,-3.6,0.591,1.37,17.2,0.283,0.75,0.514,0.171,0.549,0.588,111.6,111.0,92.5,111,0.472
0022500086,2025-10-22,1610612749,Milwaukee Bucks,1,1,0,1.0,48.0,122.7,124.3,112.8,112.1,9.9,12.1,0.62,3.88,21.2,0.154,0.724,0.455,0.075,0.602,0.625,107.4,107.0,89.17,107,0.559
0022500089,2025-10-22,1610612750,Minnesota Timberwolves,1,1,0,1.0,48.0,111.8,112.4,99.7,110.7,12.1,1.7,0.5,1.11,14.9,0.306,0.667,0.495,0.181,0.576,0.611,110.0,104.0,86.67,105,0.511
0022500085,2025-10-22,1610612740,New Orleans Pelicans,1,0,1,0.0,48.0,111.3,113.0,116.4,117.4,-5.2,-4.5,0.444,1.33,13.4,0.368,0.744,0.53,0.139,0.51,0.546,109.8,108.5,90.42,108,0.456
0022500003,2025-10-22,1610612752,New York Knicks,1,1,0,1.0,48.0,111.4,113.3,105.8,105.7,5.6,7.6,0.595,1.57,15.9,0.245,0.837,0.541,0.133,0.512,0.584,105.9,105.0,87.5,105,0.564
0022500081,2025-10-22,1610612753,Orlando Magic,1,1,0,1.0,48.0,112.2,112.6,108.2,109.0,4.1,3.6,0.548,1.53,15.8,0.25,0.717,0.486,0.135,0.533,0.593,111.6,111.0,92.5,111,0.528
0022500083,2025-10-22,1610612755,Philadelphia 76ers,1,1,0,1.0,48.0,114.5,117.0,112.1,116.0,2.3,1.0,0.59,1.64,16.7,0.306,0.706,0.51,0.14,0.553,0.596,102.8,100.0,83.33,100,0.511
0022500088,2025-10-22,1610612756,Phoenix Suns,1,1,0,1.0,48.0,113.9,117.6,107.3,116.0,6.7,1.6,0.511,1.44,15.4,0.444,0.686,0.562,0.157,0.526,0.559,106.7,101.0,84.17,102,0.503
0022500089,2025-10-22,1610612757,Portland Trail Blazers,1,0,1,0.0,48.0,99.7,110.7,111.8,112.4,-12.1,-1.7,0.694,1.56,17.1,0.333,0.694,0.505,0.155,0.472,0.541,110.0,104.0,86.67,103,0.489
0022500088,2025-10-22,1610612758,Sacramento Kings,1,0,1,0.0,48.0,107.3,116.0,113.9,117.6,-6.7,-1.6,0.511,1.85,17.1,0.314,0.556,0.438,0.13,0.548,0.557,106.7,101.0,84.17,100,0.497
0022500004,2025-10-22,1610612759,San Antonio Spurs,1,1,0,1.0,48.0,121.0,125.0,90.7,91.1,30.3,33.9,0.48,1.6,17.4,0.311,0.764,0.56,0.15,0.621,0.629,102.4,100.5,83.75,100,0.688
0022500082,2025-10-22,1610612761,Toronto Raptors,1,1,0,1.0,48.0,120.3,122.1,103.3,104.4,17.0,17.7,0.667,1.89,22.0,0.333,0.786,0.584,0.168,0.6,0.64,114.5,113.0,94.17,113,0.616
0022500087,2025-10-22,1610612762,Utah Jazz,1,1,0,1.0,48.0,134.7,135.8,111.1,113.7,23.6,22.1,0.792,2.92,25.5,0.39,0.667,0.543,0.137,0.649,0.673,96.5,95.0,79.17,95,0.621
0022500086,2025-10-22,1610612764,Washington Wizards,1,0,1,0.0,48.0,112.8,112.1,122.7,124.3,-9.9,-12.1,0.5,1.77,16.0,0.276,0.846,0.545,0.121,0.556,0.564,107.4,107.0,89.17,107,0.441
0022500006,2025-10-23,1610612743,Denver Nuggets,1,0,1,0.0,53.0,122.2,123.6,125.7,128.0,-3.4,-4.5,0.627,2.46,21.6,0.222,0.709,0.49,0.123,0.621,0.647,97.9,96.45,80.38,106,0.485
