GAME_ID,HOME_CLOSING_SPREAD
0022200002,-7.5
0022200001,-3.0
0022200009,-4.5
0022200003,-3.5
0022200014,-3.25
0022200008,-2.5
0022200006,-3.0
0022200007,-7.5
0022200013,-4.0
0022200012,7.0
0022200005,-10.5
0022200010,-11.0
0022200004,2.5
0022200011,1.0
0022200015,-4.0
0022200016,5.0
0022200020,-9.0
0022200027,5.0
0022200018,-1.5
0022200022,2.25
0022200017,7.0
0022200019,-2.0
0022200026,-5.5
0022200021,-2.5
0022200025,-8.0
0022200024,7.0
0022200023,-7.0
0022200028,-13.5
0022200030,8.5
0022200032,1.5
0022200033,-13.25
0022200036,2.5
0022200035,-9.0
0022200031,-3.5
0022200034,-5.5
0022200029,-1.0
0022200041,9.5
0022200043,1.0
0022200037,-4.0
0022200042,-10.0
0022200040,-8.5
0022200039,-3.5
0022200038,-10.0
0022200049,-1.0
0022200046,-7.5
0022200044,-12.5
0022200050,-8.5
0022200047,5.5
0022200051,5.0
0022200045,-3.5
0022200048,2.5
0022200053,5.0
0022200055,-1.5
0022200054,5.5
0022200052,-5.5
0022200064,-5.0
0022200065,2.5
0022200060,-3.0
0022200056,-9.0
0022200061,-7.0
0022200059,1.0
0022200062,-9.5
0022200057,7.5
0022200063,-8.0
0022200058,-7.5
0022200068,-6.0
0022200066,2.75
0022200067,7.0
0022200069,2.5
0022200076,-8.0
0022200075,-6.0
0022200074,-5.0
0022200073,-3.75
0022200070,6.0
0022200072,-7.0
0022200079,-8.0
0022200077,4.0
0022200080,-4.0
0022200078,-7.5
0022200071,1.5
0022200081,4.0
0022200083,-11.0
0022200084,2.5
0022200085,-5.5
0022200082,10.0
0022200086,-10.5
0022200087,3.5
0022200092,6.0
0022200090,-3.5
0022200093,-9.0
0022200088,-2.0
0022200095,2.5
0022200091,7.5
0022200094,-12.5
0022200089,-9.5
0022200098,-8.0
0022200097,2.5
0022200096,3.5
0022200099,-2.0
0022200102,-8.5
0022200101,2.5
0022200100,-13.5
0022200106,-4.0
0022200105,-3.0
0022200103,-2.0
0022200104,-1.25
0022200109,-4.5
0022200110,-2.5
0022200107,1.5
0022200117,2.5
0022200112,6.0
0022200114,6.5
0022200115,-6.5
0022200116,5.5
0022200108,-5.5
0022200113,-11.5
0022200111,-6.0
0022200119,6.5
0022200118,9.5
0022200121,3.0
0022200129,2.0
0022200123,-3.0
0022200122,-1.5
0022200130,-12.0
0022200120,4.0
0022200124,-7.0
0022200128,-10.5
0022200126,3.5
0022200127,-4.5
0022200131,-3.5
0022200125,-11.0
0022200133,3.5
0022200139,-11.5
0022200132,4.5
0022200138,-11.5
0022200135,4.0
0022200134,-2.0
0022200137,-8.0
0022200136,-5.5
0022200140,5.5
0022200141,-4.0
0022200143,-3.5
0022200142,-9.5
0022200157,-7.0
0022200149,5.5
0022200155,-6.0
0022200153,-2.5
0022200148,1.5
0022200150,-5.5
0022200156,-8.0
0022200152,3.5
0022200158,4.0
0022200147,5.0
0022200154,7.5
0022200145,-5.0
0022200146,2.0
0022200151,-2.0
0022200144,-2.0
0022200170,-3.0
0022200168,1.0
0022200164,-3.5
0022200167,-1.5
0022200159,1.5
0022200171,4.0
0022200166,2.0
0022200161,8.5
0022200160,5.0
0022200165,-10.0
0022200162,-4.5
0022200169,6.0
0022200163,-13.5
0022200173,-1.0
0022200175,-10.0
0022200172,6.0
0022200174,-11.0
0022200180,-1.5
0022200181,-4.0
0022200177,7.5
0022200183,3.75
0022200182,-3.0
0022200176,-4.0
0022200179,5.0
0022200178,-9.5
0022200184,-1.5
0022200190,-6.5
0022200188,-3.0
0022200186,8.5
0022200191,-10.5
0022200187,-2.5
0022200185,4.0
0022200189,-8.0
0022200193,-1.0
0022200198,5.0
0022200196,1.5
0022200197,4.0
0022200192,-5.5
0022200195,-3.5
0022200194,-1.5
0022200202,-2.5
0022200205,-9.0
0022200204,-4.0
0022200203,5.0
0022200201,-12.0
0022200199,4.5
0022200200,1.5
0022200210,-1.5
0022200208,-4.0
0022200209,-8.5
0022200207,-6.5
0022200206,-1.5
0022200215,-3.0
0022200212,8.0
0022200211,1.0
0022200214,0.0
0022200216,-2.0
0022200217,-1.5
0022200220,2.5
0022200218,-6.5
0022200213,-5.0
0022200221,-3.0
0022200222,-7.0
0022200223,-10.5
0022200224,-7.5
0022200226,1.0
0022200233,-7.5
0022200227,-8.5
0022200228,5.5
0022200232,1.0
0022200231,3.0
0022200230,-10.0
0022200229,-6.5
0022200234,-6.5
0022200225,-10.0
0022200237,3.5
0022200236,-7.5
0022200239,-8.5
0022200235,-5.5
0022200238,-4.0
0022200244,-7.5
0022200240,-6.0
0022200247,-6.25
0022200246,-10.5
0022200245,10.5
0022200243,-7.5
0022200242,-10.5
0022200241,-5.0
0022200252,-8.5
0022200254,-1.5
0022200249,-7.0
0022200251,-9.5
0022200248,-3.5
0022200250,5.5
0022200253,-10.5
0022200255,-2.5
0022200259,-9.5
0022200256,8.0
0022200257,-3.0
0022200258,-11.5
0022200262,2.0
0022200266,2.5
0022200260,-4.0
0022200261,-7.0
0022200263,-4.5
0022200269,5.5
0022200267,-7.0
0022200264,-6.0
0022200268,1.0
0022200271,-10.0
0022200265,-5.0
0022200270,-12.0
0022200282,4.0
0022200272,6.5
0022200276,3.5
0022200273,-1.5
0022200274,-4.0
0022200275,-7.5
0022200278,7.0
0022200280,-4.0
0022200279,-2.5
0022200281,3.0
0022200285,4.0
0022200284,-8.0
0022200277,-3.0
0022200283,-12.0
0022200288,-0.5
0022200286,2.5
0022200287,2.0
0022200289,-6.0
0022200293,-4.0
0022200292,2.0
0022200297,-0.5
0022200290,-8.0
0022200295,7.5
0022200298,-6.0
0022200291,1.75
0022200296,1.5
0022200294,-8.0
0022200300,-1.0
0022200302,-12.0
0022200308,-3.5
0022200307,0.0
0022200299,-3.0
0022200303,-5.0
0022200306,-2.0
0022200305,-11.0
0022200304,-5.5
0022200301,-11.0
0022200309,4.0
0022200310,-1.0
0022200311,-4.0
0022200314,-9.5
0022200316,6.0
0022200323,-4.5
0022200312,-3.5
0022200324,-6.0
0022200319,-3.0
0022200313,6.5
0022200321,-5.5
0022200320,-11.0
0022200322,-7.5
0022200318,2.5
0022200317,3.0
0022200315,-5.5
0022200325,8.0
0022200331,-8.5
0022200328,-7.0
0022200330,-10.5
0022200335,-4.0
0022200332,-4.5
0022200333,7.0
0022200336,-7.0
0022200327,5.0
0022200334,-11.5
0022200329,-1.5
0022200326,4.0
0022200339,2.0
0022200340,-11.5
0022200343,-5.0
0022200338,3.5
0022200337,1.5
0022200342,-11.5
0022200341,-5.5
0022200349,-1.5
0022200351,-5.0
0022200345,10.0
0022200346,2.5
0022200348,2.5
0022200350,-3.0
0022200344,-2.0
0022200347,6.5
0022200357,5.5
0022200353,10.5
0022200359,-12.0
0022200356,8.0
0022200358,-3.0
0022200355,-1.5
0022200352,6.5
0022200354,-6.0
0022200360,-6.0
0022200362,-4.5
0022200361,-7.5
0022200366,-12.5
0022200370,-4.0
