HOME_FGM_AVG10,HOME_FGA_AVG10,HOME_FG3M_AVG10,HOME_FG3A_AVG10,HOME_FTM_AVG10,HOME_FTA_AVG10,HOME_OREB_AVG10,HOME_DREB_AVG10,HOME_REB_AVG10,HOME_AST_AVG10,HOME_STL_AVG10,HOME_BLK_AVG10,HOME_TOV_AVG10,HOME_PF_AVG10,HOME_PTS_AVG10,HOME_PLUS_MINUS_AVG10,HOME_WIN_AVG10,HOME_POSS_AVG10,HOME_OREB_PCT_AVG10,HOME_DREB_PCT_AVG10,HOME_PACE_AVG10,HOME_PIE_AVG10,HOME_FG_PCT_AVG10,HOME_FG3_PCT_AVG10,HOME_FT_PCT_AVG10,HOME_EFG_PCT_AVG10,HOME_TS_PCT_AVG10,HOME_AST_PCT_AVG10,HOME_AST_TO_AVG10,HOME_AST_RATIO_AVG10,HOME_TM_TOV_PCT_AVG10,HOME_OFF_RATING_AVG10,HOME_REB_PCT_AVG10,HOME_DEF_RATING_AVG10,HOME_NET_RATING_AVG10,AWAY_FGM_AVG10,AWAY_FGA_AVG10,AWAY_FG3M_AVG10,AWAY_FG3A_AVG10,AWAY_FTM_AVG10,AWAY_FTA_AVG10,AWAY_OREB_AVG10,AWAY_DREB_AVG10,AWAY_REB_AVG10,AWAY_AST_AVG10,AWAY_STL_AVG10,AWAY_BLK_AVG10,AWAY_TOV_AVG10,AWAY_PF_AVG10,AWAY_PTS_AVG10,AWAY_PLUS_MINUS_AVG10,AWAY_WIN_AVG10,AWAY_POSS_AVG10,AWAY_OREB_PCT_AVG10,AWAY_DREB_PCT_AVG10,AWAY_PACE_AVG10,AWAY_PIE_AVG10,AWAY_FG_PCT_AVG10,AWAY_FG3_PCT_AVG10,AWAY_FT_PCT_AVG10,AWAY_EFG_PCT_AVG10,AWAY_TS_PCT_AVG10,AWAY_AST_PCT_AVG10,AWAY_AST_TO_AVG10,AWAY_AST_RATIO_AVG10,AWAY_TM_TOV_PCT_AVG10,AWAY_OFF_RATING_AVG10,AWAY_REB_PCT_AVG10,AWAY_DEF_RATING_AVG10,AWAY_NET_RATING_AVG10,DIFF_FGM_AVG10,DIFF_FGA_AVG10,DIFF_FG3M_AVG10,DIFF_FG3A_AVG10,DIFF_FTM_AVG10,DIFF_FTA_AVG10,DIFF_OREB_AVG10,DIFF_DREB_AVG10,DIFF_REB_AVG10,DIFF_AST_AVG10,DIFF_STL_AVG10,DIFF_BLK_AVG10,DIFF_TOV_AVG10,DIFF_PF_AVG10,DIFF_PTS_AVG10,DIFF_PLUS_MINUS_AVG10,DIFF_WIN_AVG10,DIFF_POSS_AVG10,DIFF_OREB_PCT_AVG10,DIFF_DREB_PCT_AVG10,DIFF_PACE_AVG10,DIFF_PIE_AVG10,DIFF_FG_PCT_AVG10,DIFF_FG3_PCT_AVG10,DIFF_FT_PCT_AVG10,DIFF_EFG_PCT_AVG10,DIFF_TS_PCT_AVG10,DIFF_AST_PCT_AVG10,DIFF_AST_TO_AVG10,DIFF_AST_RATIO_AVG10,DIFF_TM_TOV_PCT_AVG10,DIFF_OFF_RATING_AVG10,DIFF_REB_PCT_AVG10,DIFF_DEF_RATING_AVG10,DIFF_NET_RATING_AVG10,HOME_REST,AWAY_REST,REST_DIFF,HOME_SPREAD,HOME_DIFF
40.8,91.6,11.4,31.9,17.0,23.6,11.7,34.3,46.0,26.5,7.4,6.2,15.4,20.2,110.0,-4.4,0.3,103.6,0.2906,0.7011000000000001,101.393,0.474,0.445414847161572,0.3573667711598746,0.7203389830508474,0.50764192139738,0.5393002823972388,0.6495098039215687,1.7207792207792207,18.41761418920797,0.1486486486486486,106.17760617760618,0.4898828541001064,110.42471042471044,-4.247104247104247,40.3,86.6,9.3,30.1,17.0,21.0,9.4,34.1,43.5,23.7,6.0,5.9,13.6,20.1,106.9,-5.3,0.4,98.8,0.2512999999999999,0.7611,97.688,0.49,0.4653579676674365,0.3089700996677741,0.8095238095238095,0.51905311778291,0.5577003338898164,0.5880893300248139,1.7426470588235294,17.8008111762055,0.1376518218623481,108.19838056680162,0.5064027939464494,113.56275303643724,-5.364372469635626,0.5,5.0,2.1,1.7999999999999972,0.0,2.6000000000000014,2.299999999999999,0.1999999999999957,2.5,2.8000000000000007,1.4000000000000004,0.2999999999999998,1.8000000000000007,0.0999999999999978,3.0999999999999943,0.8999999999999995,-0.1,4.799999999999997,0.0393,-0.0599999999999999,3.7049999999999983,-0.016,-0.0199431205058644,0.0483966714921005,-0.0891848264729621,-0.01141119638553,-0.0184000514925776,0.0614204738967547,-0.0218678380443086,0.6168030130024746,0.0109968267863004,-2.020774389195438,-0.0165199398463429,-3.138042611726817,1.1172682225313793,1.0,0.0,1.0,-2.0,-8
40.1,85.1,9.5,30.5,20.3,25.9,10.1,36.1,46.2,20.6,6.5,5.9,16.2,22.6,110.0,-4.3,0.2,101.0,0.2721,0.7392,100.058,0.4878999999999999,0.4712103407755582,0.3114754098360656,0.7837837837837839,0.5270270270270271,0.5699718123031007,0.513715710723192,1.271604938271605,15.454327211619256,0.1603960396039604,108.91089108910892,0.5310344827586208,113.16831683168316,-4.257425742574256,38.5,90.9,12.3,35.8,18.7,24.5,13.9,31.8,45.7,20.1,7.6,4.4,16.8,21.3,108.0,-9.0,0.1,101.9,0.3392,0.7273,101.65,0.4269999999999999,0.4235423542354235,0.3435754189944134,0.7632653061224489,0.4911991199119911,0.5310778914240755,0.5220779220779221,1.1964285714285714,14.50425746861019,0.1648675171736997,105.98626104023552,0.5077777777777778,114.81844946025517,-8.832188420019634,1.6000000000000014,-5.800000000000011,-2.8000000000000007,-5.299999999999997,1.6000000000000014,1.3999999999999986,-3.8000000000000007,4.300000000000001,0.5,0.5,-1.0999999999999996,1.5,-0.6000000000000014,1.3000000000000007,2.0,4.7,0.1,-0.9000000000000057,-0.0670999999999999,0.0119,-1.5919999999999987,0.0609,0.0476679865401347,-0.0321000091583478,0.0205184776613349,0.0358279071150359,0.0388939208790252,-0.0083622113547301,0.0751763668430336,0.950069743009065,-0.0044714775697393,2.9246300488733965,0.0232567049808429,-1.6501326285719813,4.574762677445378,1.0,1.0,0.0,-5.0,-7
39.5,86.4,11.0,29.0,21.0,24.3,10.8,32.9,43.7,23.9,8.1,5.5,15.0,19.5,111.0,0.3,0.4,100.5,0.2754999999999999,0.7217,100.45,0.4966,0.4571759259259259,0.3793103448275862,0.8641975308641975,0.5208333333333333,0.57162279075516,0.6050632911392405,1.5933333333333333,17.574563209600562,0.1492537313432835,110.44776119402984,0.5046189376443418,110.14925373134328,0.2985074626865724,41.3,90.2,12.6,34.3,18.2,23.7,12.1,32.4,44.5,24.6,10.7,5.8,11.8,20.4,113.4,7.3,0.6,97.8,0.3174,0.752,97.8,0.5213,0.4578713968957871,0.3673469387755102,0.7679324894514767,0.5277161862527715,0.5634614620185237,0.5956416464891042,2.084745762711864,17.952535248270422,0.1206543967280163,115.95092024539878,0.522300469483568,108.48670756646216,7.464212678936605,-1.7999999999999972,-3.799999999999997,-1.5999999999999996,-5.299999999999997,2.8000000000000007,0.6000000000000014,-1.299999999999999,0.5,-0.7999999999999972,-0.7000000000000028,-2.6,-0.2999999999999998,3.1999999999999997,-0.8999999999999986,-2.4000000000000057,-7.0,-0.1999999999999999,2.700000000000003,-0.0419,-0.0302999999999999,2.6500000000000057,-0.0246999999999999,-0.0006954709698612,0.0119634060520759,0.0962650414127207,-0.0068828529194382,0.0081613287366363,0.0094216446501362,-0.4914124293785309,-0.3779720386698599,0.0285993346152672,-5.503159051368925,-0.0176815318392261,1.6625461648811068,-7.165705216250032,0.0,0.0,0.0,-2.0,14
40.2,92.3,10.6,32.2,16.1,22.9,12.0,33.4,45.4,26.6,7.5,5.9,15.0,20.5,107.1,-7.9,0.2,102.7,0.2934,0.702,100.543,0.4558,0.4355362946912243,0.3291925465838509,0.703056768558952,0.4929577464788732,0.5230718137063375,0.6616915422885572,1.7733333333333334,18.475301439128742,0.1460564751703992,104.28432327166504,0.485042735042735,111.97663096397274,-7.692307692307693,38.9,83.0,11.8,29.9,20.2,25.9,10.7,33.0,43.7,23.2,6.9,4.3,17.1,19.0,109.8,0.9,0.7,99.1,0.2829,0.7218,98.076,0.4934,0.4686746987951807,0.3946488294314382,0.7799227799227799,0.5397590361445783,0.5815924403576422,0.596401028277635,1.3567251461988303,17.22397101621429,0.1725529767911201,110.79717457114027,0.5183867141162515,109.88900100908174,0.9081735620585364,1.3000000000000045,9.299999999999995,-1.200000000000001,2.3000000000000043,-4.099999999999998,-3.0,1.3000000000000007,0.3999999999999986,1.6999999999999955,3.400000000000002,0.5999999999999996,1.6000000000000003,-2.1000000000000014,1.5,-2.700000000000003,-8.8,-0.4999999999999999,3.6000000000000085,0.0104999999999999,-0.0198,2.467000000000013,-0.0376,-0.0331384041039564,-0.0654562828475873,-0.0768660113638278,-0.046801289665705,-0.0585206266513047,0.0652905140109222,0.4166081871345031,1.251330422914453,-0.0264965016207208,-6.51285129947523,-0.0333439790735164,2.087629954891,-8.60048125436623,1.0,1.0,0.0,1.5,-10
41.2,90.8,15.3,40.4,19.4,24.2,11.3,33.4,44.7,28.4,6.5,6.8,16.1,22.2,117.1,-0.9,0.5,102.1,0.3238999999999999,0.7445,102.1,0.4849,0.4537444933920705,0.3787128712871287,0.8016528925619835,0.5379955947136564,0.5771429697973346,0.6893203883495145,1.7639751552795029,19.458985392057446,0.1576885406464251,114.69147894221352,0.5143843498273878,115.57296767874634,-0.8814887365328161,44.0,87.7,13.4,32.0,14.8,20.7,10.6,34.8,45.4,29.0,7.5,3.8,15.9,18.8,116.2,2.3,0.7,101.1,0.2802,0.7414,101.15,0.5186,0.5017103762827821,0.41875,0.7149758454106281,0.5781071835803877,0.6001570118172052,0.6590909090909091,1.8238993710691824,20.4646173822226,0.1572700296735905,114.93570722057368,0.5242494226327945,112.66073194856578,2.2749752720079077,-2.799999999999997,3.0999999999999943,1.9000000000000004,8.399999999999999,4.599999999999998,3.5,0.7000000000000011,-1.3999999999999986,-0.6999999999999957,-0.6000000000000014,-1.0,3.0,0.200000000000001,3.3999999999999986,0.8999999999999915,-3.2,-0.1999999999999999,1.0,0.0436999999999999,0.0031000000000001,0.9499999999999886,-0.0336999999999999,-0.0479658828907116,-0.0400371287128712,0.0866770471513553,-0.0401115888667312,-0.0230140420198705,0.0302294792586054,-0.0599242157896795,-1.0056319901651527,0.0004185109728345,-0.2442282783601683,-0.0098650728054067,2.912235730180555,-3.1564640085407234,1.0,1.0,0.0,5.0,-3
44.5,94.9,10.4,29.9,17.1,20.9,10.9,33.9,44.8,25.8,8.1,5.7,12.2,21.6,116.5,2.9,0.7,102.9,0.2923,0.6864,101.629,0.5258999999999999,0.4689146469968387,0.3478260869565218,0.8181818181818183,0.523709167544784,0.559579618813403,0.5797752808988764,2.114754098360656,18.156739105956536,0.118561710398445,113.21671525753158,0.4843243243243243,110.39844509232265,2.8182701652089435,42.9,90.5,14.3,39.3,16.3,20.7,11.7,32.0,43.7,26.7,8.6,5.6,16.0,22.9,116.4,4.6,0.7,101.0,0.3094,0.6913,100.308,0.534,0.4740331491712707,0.3638676844783715,0.7874396135265701,0.5530386740331491,0.584290418440286,0.6223776223776224,1.66875,18.76212159541277,0.1584158415841584,115.24752475247524,0.5022988505747127,110.6930693069307,4.554455445544548,1.6000000000000014,4.400000000000006,-3.9,-9.4,0.8000000000000007,0.1999999999999993,-0.7999999999999989,1.8999999999999984,1.0999999999999943,-0.8999999999999986,-0.5,0.1000000000000005,-3.8000000000000007,-1.2999999999999972,0.0999999999999943,-1.6999999999999995,0.0,1.9000000000000057,-0.0171,-0.0049,1.320999999999998,-0.0081000000000001,-0.0051185021744319,-0.0160415975218497,0.0307422046552482,-0.029329506488365,-0.0247107996268829,-0.0426023414787459,0.4460040983606561,-0.6053824894562325,-0.0398541311857133,-2.030809494943668,-0.0179745262503883,-0.2946242146080635,-1.7361852803356044,1.0,1.0,0.0,-4.5,-6
40.8,85.5,15.6,40.3,20.6,24.1,7.8,33.4,41.2,25.4,5.5,5.8,13.9,21.7,117.8,3.4,0.7,100.9,0.2322,0.7371000000000001,99.084,0.5196,0.4771929824561403,0.3870967741935484,0.8547717842323651,0.5684210526315788,0.6128777158078748,0.6225490196078431,1.8273381294964024,18.758677734778885,0.1377601585728444,116.74925668979186,0.4807467911318553,113.37958374628344,3.3696729435084194,37.5,88.0,11.1,33.3,21.1,26.9,11.7,32.5,44.2,20.2,5.9,4.0,15.1,22.6,107.2,-11.1,0.2,100.6,0.3,0.6839999999999999,100.65,0.4195,0.4261363636363636,0.3333333333333333,0.7843866171003718,0.4892045454545454,0.5368804839937498,0.5386666666666666,1.3377483443708609,14.947904333412266,0.1500994035785288,106.56063618290258,0.4773218142548596,117.5944333996024,-11.03379721669981,3.299999999999997,-2.5,4.5,7.0,-0.5,-2.799999999999997,-3.9,0.8999999999999986,-3.0,5.199999999999999,-0.4000000000000003,1.7999999999999998,-1.1999999999999993,-0.9000000000000021,10.599999999999994,14.5,0.4999999999999999,0.3000000000000113,-0.0677999999999999,0.0531000000000001,-1.5660000000000025,0.1000999999999999,0.0510566188197766,0.053763440860215,0.0703851671319932,0.0792165071770333,0.0759972318141249,0.0838823529411765,0.4895897851255417,3.8107734013666192,-0.0123392450056844,10.18862050688928,0.0034249768769956,-4.21484965331895,14.40347016020823,1.0,1.0,0.0,-13.5,16
40.0,83.6,11.4,32.0,19.4,23.5,8.8,30.7,39.5,25.5,7.4,7.9,13.4,22.5,110.8,1.2,0.4,98.0,0.2495,0.6671,97.036,0.5225,0.4784688995215311,0.35625,0.825531914893617,0.5466507177033494,0.5897381307217373,0.6375,1.9029850746268655,19.196025293586267,0.136734693877551,113.06122448979592,0.4759036144578313,111.83673469387756,1.2244897959183731,43.0,92.8,11.8,34.8,17.2,22.3,12.7,36.1,48.8,24.7,6.5,5.5,15.3,22.1,115.0,0.0,0.5,103.2,0.317,0.6956,100.988,0.5031,0.4633620689655172,0.339080459770115,0.7713004484304932,0.5269396551724138,0.560363310334074,0.5744186046511628,1.61437908496732,17.319720640619302,0.1482558139534883,111.43410852713178,0.5109947643979057,111.43410852713178,0.0,-3.0,-9.200000000000005,-0.4000000000000003,-2.799999999999997,2.1999999999999997,1.1999999999999993,-3.899999999999999,-5.400000000000002,-9.299999999999995,0.8000000000000007,0.9000000000000004,2.4000000000000004,-1.9000000000000004,0.3999999999999986,-4.200000000000003,1.2,-0.0999999999999999,-5.200000000000003,-0.0675,-0.0284999999999999,-3.951999999999998,0.0193999999999999,0.0151068305560139,0.017169540229885,0.0542314664631238,0.0197110625309355,0.0293748203876632,0.0630813953488371,0.2886059896595456,1.8763046529669647,-0.0115211200759373,1.627115962664135,-0.0350911499400743,0.4026261667457618,1.2244897959183731,1.0,1.0,0.0,-3.5,27
41.3,90.1,12.2,34.1,17.5,22.7,11.4,32.1,43.5,25.1,10.2,6.1,12.0,20.1,112.3,5.6,0.5,98.2,0.301,0.7452,98.2,0.5131,0.4583795782463929,0.3577712609970674,0.7709251101321586,0.5260821309655938,0.56100631444329,0.6077481840193706,2.091666666666667,18.296060879960347,0.1221995926680244,114.35845213849286,0.5099648300117233,108.65580448065172,5.7026476578411405,38.9,89.8,13.8,37.1,19.1,25.5,13.8,30.5,44.3,20.7,8.1,4.7,17.4,21.6,110.7,-7.3,0.2,101.4,0.3479,0.7035,101.2,0.4365,0.433184855233853,0.3719676549865229,0.7490196078431373,0.510022271714922,0.5479113046921402,0.532133676092545,1.1896551724137931,14.87924094307073,0.1715976331360946,109.17159763313607,0.5005649717514123,116.37080867850098,-7.1992110453648905,2.3999999999999986,0.2999999999999971,-1.6000000000000014,-3.0,-1.6000000000000014,-2.8000000000000007,-2.4000000000000004,1.6000000000000014,-0.7999999999999972,4.400000000000002,2.1,1.3999999999999997,-5.399999999999999,-1.5,1.5999999999999943,12.9,0.3,-3.200000000000003,-0.0469,0.0416999999999999,-3.0,0.0766,0.0251947230125398,-0.0141963939894554,0.0219055022890213,0.0160598592506717,0.0130950097511497,0.0756145079268255,0.9020114942528736,3.416819936889617,-0.0493980404680702,5.186854505356777,0.0093998582603109,-7.715004197849254,12.901858703206033,1.0,1.0,0.0,-10.0,7
40.4,86.5,11.2,29.1,20.1,23.2,10.7,34.1,44.8,25.0,8.0,5.9,15.9,20.1,112.1,1.9,0.5,101.1,0.2789,0.7239,100.95,0.5114,0.4670520231213872,0.3848797250859106,0.8663793103448276,0.5317919075144508,0.5795797658932043,0.6188118811881188,1.572327044025157,18.16754839834893,0.1572700296735905,110.88031651829871,0.5155350978135788,109.00098911968348,1.8793273986152457,45.1,93.6,11.1,28.6,17.2,22.7,12.7,33.1,45.8,28.0,8.7,3.9,14.3,19.9,118.5,3.9,0.5,103.3,0.3224,0.7226,100.047,0.518,0.4818376068376069,0.388111888111888,0.7577092511013216,0.5411324786324786,0.5719774491253814,0.6208425720620843,1.958041958041958,19.192805439789428,0.1384317521781219,114.71442400774444,0.5198637911464246,110.93901258470474,3.7754114230396993,-4.700000000000003,-7.099999999999994,0.0999999999999996,0.5,2.900000000000002,0.5,-2.0,1.0,-1.0,-3.0,-0.6999999999999993,2.0000000000000004,1.5999999999999996,0.2000000000000028,-6.400000000000006,-2.0,0.0,-2.200000000000003,-0.0434999999999999,0.0012999999999999,0.9030000000000058,-0.0066,-0.0147855837162196,-0.0032321630259774,0.108670059243506,-0.0093405711180277,0.0076023167678228,-0.0020306908739654,-0.3857149140168008,-1.0252570414404936,0.0188382774954685,-3.8341074894457137,-0.0043286933328458,-1.93802346502126,-1.8960840244244537,1.0,1.0,0.0,2.0,-4
